variant_id,product,fallback_pnl,fallback_trade_count,fallback_traded_qty,fallback_final_position,day,k_micro,k_imbalance,threshold
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,95.0,117,720,34,0,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,3061.0,135,876,118,1,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0,VELVETFRUIT_EXTRACT,637.0,145,928,16,2,1.25,0.75,0.0
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,18.0,1,1,-1,0,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,0.75,0.25
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,0,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.25,0.75,0.5
micro_k1p25_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,0.75,0.5
micro_k1p25_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.0,0.0
micro_k1p25_imb1_thr0,VELVETFRUIT_EXTRACT,410.0,147,968,134,0,1.25,1.0,0.0
micro_k1p25_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.0,0.0
micro_k1p25_imb1_thr0,VELVETFRUIT_EXTRACT,4768.0,149,988,180,1,1.25,1.0,0.0
micro_k1p25_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.0,0.0
micro_k1p25_imb1_thr0,VELVETFRUIT_EXTRACT,4727.5,176,1179,141,2,1.25,1.0,0.0
micro_k1p25_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.0,0.25
micro_k1p25_imb1_thr0p25,VELVETFRUIT_EXTRACT,18.0,1,1,-1,0,1.25,1.0,0.25
micro_k1p25_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.0,0.25
micro_k1p25_imb1_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,1.0,0.25
micro_k1p25_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.0,0.25
micro_k1p25_imb1_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,1.0,0.25
micro_k1p25_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.0,0.5
micro_k1p25_imb1_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,0,1.25,1.0,0.5
micro_k1p25_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.0,0.5
micro_k1p25_imb1_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,1.0,0.5
micro_k1p25_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.0,0.5
micro_k1p25_imb1_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,1.0,0.5
micro_k1p25_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0,VELVETFRUIT_EXTRACT,712.0,166,1140,152,0,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0,VELVETFRUIT_EXTRACT,4166.5,172,1173,171,1,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0,VELVETFRUIT_EXTRACT,6111.5,205,1431,177,2,1.25,1.25,0.0
micro_k1p25_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,18.0,1,1,-1,0,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,1.25,0.25
micro_k1p25_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.25,1.25,0.5
micro_k1p25_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,0,1.25,1.25,0.5
micro_k1p25_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.25,1.25,0.5
micro_k1p25_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,1,1.25,1.25,0.5
micro_k1p25_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.25,1.25,0.5
micro_k1p25_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,0.0,0,0,0,2,1.25,1.25,0.5
micro_k1p5_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0,VELVETFRUIT_EXTRACT,-1350.0,318,2633,-47,0,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0,VELVETFRUIT_EXTRACT,957.5,322,2663,123,1,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0,VELVETFRUIT_EXTRACT,-5426.5,355,2945,-105,2,1.5,0.75,0.0
micro_k1p5_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,601.0,103,630,-200,0,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,-3769.0,120,768,-200,1,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,-6796.0,107,680,-200,2,1.5,0.75,0.25
micro_k1p5_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.5,0.75,0.5
micro_k1p5_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,237.0,5,15,-15,0,1.5,0.75,0.5
micro_k1p5_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.5,0.75,0.5
micro_k1p5_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,-276.0,3,14,-14,1,1.5,0.75,0.5
micro_k1p5_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.5,0.75,0.5
micro_k1p5_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,-1218.5,7,35,-35,2,1.5,0.75,0.5
micro_k1p5_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.0,0.0
micro_k1p5_imb1_thr0,VELVETFRUIT_EXTRACT,-1342.0,332,2807,-7,0,1.5,1.0,0.0
micro_k1p5_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.0,0.0
micro_k1p5_imb1_thr0,VELVETFRUIT_EXTRACT,2234.5,334,2783,199,1,1.5,1.0,0.0
micro_k1p5_imb1_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.0,0.0
micro_k1p5_imb1_thr0,VELVETFRUIT_EXTRACT,-4688.0,362,3042,-92,2,1.5,1.0,0.0
micro_k1p5_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.0,0.25
micro_k1p5_imb1_thr0p25,VELVETFRUIT_EXTRACT,3.0,114,723,-187,0,1.5,1.0,0.25
micro_k1p5_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.0,0.25
micro_k1p5_imb1_thr0p25,VELVETFRUIT_EXTRACT,-4508.0,137,898,-200,1,1.5,1.0,0.25
micro_k1p5_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.0,0.25
micro_k1p5_imb1_thr0p25,VELVETFRUIT_EXTRACT,-6892.0,128,826,-200,2,1.5,1.0,0.25
micro_k1p5_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.0,0.5
micro_k1p5_imb1_thr0p5,VELVETFRUIT_EXTRACT,159.0,6,21,-21,0,1.5,1.0,0.5
micro_k1p5_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.0,0.5
micro_k1p5_imb1_thr0p5,VELVETFRUIT_EXTRACT,-309.0,4,20,-20,1,1.5,1.0,0.5
micro_k1p5_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.0,0.5
micro_k1p5_imb1_thr0p5,VELVETFRUIT_EXTRACT,-1206.0,8,40,-40,2,1.5,1.0,0.5
micro_k1p5_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0,VELVETFRUIT_EXTRACT,-1309.0,339,2890,-4,0,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0,VELVETFRUIT_EXTRACT,1984.0,343,2894,200,1,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0,VELVETFRUIT_EXTRACT,-4834.0,372,3160,-108,2,1.5,1.25,0.0
micro_k1p5_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-258.0,128,823,-163,0,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-3504.0,153,1032,-200,1,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-6520.0,146,958,-200,2,1.5,1.25,0.25
micro_k1p5_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.5,1.25,0.5
micro_k1p5_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,278.0,7,28,-28,0,1.5,1.25,0.5
micro_k1p5_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.5,1.25,0.5
micro_k1p5_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,-366.0,5,26,-26,1,1.5,1.25,0.5
micro_k1p5_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.5,1.25,0.5
micro_k1p5_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,-1895.0,11,60,-60,2,1.5,1.25,0.5
micro_k1p75_imb0p75_thr0,HYDROGEL_PACK,-456.0,4,16,8,0,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0,VELVETFRUIT_EXTRACT,-23821.0,997,12796,88,0,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0,HYDROGEL_PACK,-76.0,8,32,8,1,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0,VELVETFRUIT_EXTRACT,-24189.5,987,12563,-91,1,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0,HYDROGEL_PACK,-524.0,11,44,4,2,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0,VELVETFRUIT_EXTRACT,-24071.5,983,12395,-177,2,1.75,0.75,0.0
micro_k1p75_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,-1745.0,287,2308,-112,0,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,-345.0,301,2428,-28,1,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p25,VELVETFRUIT_EXTRACT,-5794.5,321,2541,-165,2,1.75,0.75,0.25
micro_k1p75_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.75,0.75,0.5
micro_k1p75_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,-1077.0,83,520,-200,0,1.75,0.75,0.5
micro_k1p75_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.75,0.75,0.5
micro_k1p75_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,-3906.0,87,558,-200,1,1.75,0.75,0.5
micro_k1p75_imb0p75_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.75,0.75,0.5
micro_k1p75_imb0p75_thr0p5,VELVETFRUIT_EXTRACT,-5917.0,96,628,-200,2,1.75,0.75,0.5
micro_k1p75_imb1_thr0,HYDROGEL_PACK,-456.0,4,16,8,0,1.75,1.0,0.0
micro_k1p75_imb1_thr0,VELVETFRUIT_EXTRACT,-23974.0,1004,12864,88,0,1.75,1.0,0.0
micro_k1p75_imb1_thr0,HYDROGEL_PACK,-76.0,8,32,8,1,1.75,1.0,0.0
micro_k1p75_imb1_thr0,VELVETFRUIT_EXTRACT,-24064.5,990,12573,-91,1,1.75,1.0,0.0
micro_k1p75_imb1_thr0,HYDROGEL_PACK,-524.0,11,44,4,2,1.75,1.0,0.0
micro_k1p75_imb1_thr0,VELVETFRUIT_EXTRACT,-24477.5,991,12463,-177,2,1.75,1.0,0.0
micro_k1p75_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.75,1.0,0.25
micro_k1p75_imb1_thr0p25,VELVETFRUIT_EXTRACT,-1702.0,294,2375,-95,0,1.75,1.0,0.25
micro_k1p75_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.75,1.0,0.25
micro_k1p75_imb1_thr0p25,VELVETFRUIT_EXTRACT,-466.5,311,2539,-21,1,1.75,1.0,0.25
micro_k1p75_imb1_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.75,1.0,0.25
micro_k1p75_imb1_thr0p25,VELVETFRUIT_EXTRACT,-5932.5,325,2597,-165,2,1.75,1.0,0.25
micro_k1p75_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.75,1.0,0.5
micro_k1p75_imb1_thr0p5,VELVETFRUIT_EXTRACT,-1243.0,92,586,-200,0,1.75,1.0,0.5
micro_k1p75_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.75,1.0,0.5
micro_k1p75_imb1_thr0p5,VELVETFRUIT_EXTRACT,-3723.0,99,646,-200,1,1.75,1.0,0.5
micro_k1p75_imb1_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.75,1.0,0.5
micro_k1p75_imb1_thr0p5,VELVETFRUIT_EXTRACT,-6035.0,103,666,-200,2,1.75,1.0,0.5
micro_k1p75_imb1p25_thr0,HYDROGEL_PACK,-456.0,4,16,8,0,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0,VELVETFRUIT_EXTRACT,-24059.0,1012,12912,88,0,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0,HYDROGEL_PACK,-76.0,8,32,8,1,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0,VELVETFRUIT_EXTRACT,-24181.0,993,12594,-98,1,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0,HYDROGEL_PACK,-524.0,11,44,4,2,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0,VELVETFRUIT_EXTRACT,-25127.5,998,12507,-177,2,1.75,1.25,0.0
micro_k1p75_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,0,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-2903.0,296,2399,-95,0,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,1,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-581.0,316,2598,-12,1,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p25,HYDROGEL_PACK,0.0,0,0,0,2,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p25,VELVETFRUIT_EXTRACT,-6752.0,342,2782,-152,2,1.75,1.25,0.25
micro_k1p75_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,0,1.75,1.25,0.5
micro_k1p75_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,-2126.0,110,707,-199,0,1.75,1.25,0.5
micro_k1p75_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,1,1.75,1.25,0.5
micro_k1p75_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,-3738.0,105,680,-200,1,1.75,1.25,0.5
micro_k1p75_imb1p25_thr0p5,HYDROGEL_PACK,0.0,0,0,0,2,1.75,1.25,0.5
micro_k1p75_imb1p25_thr0p5,VELVETFRUIT_EXTRACT,-5917.0,109,716,-200,2,1.75,1.25,0.5
